property_type,area_m2,frontage_m,road_width_m,district,district_code,price_million_vnd,price_per_m2_million,source,url
land,68.0,7.7,7.5,Lien Chieu,5,3150.0,46.32,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/kiet-k02-nguyen-nhu-hanh-cach-duong-chinh-20m-es3196519
land,81.0,5.0,5.5,Cam Le,6,4150.0,51.23,homedy_land_list,https://homedy.com/ban-dat-quan-cam-le-da-nang/duong-phuoc-tuong-5-chi-con-1-lo-duy-nhat-es3196518
land,97.0,5.0,10.5,Lien Chieu,5,6000.0,61.86,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/mt-duong-105m-nguyen-dinh-tu-kep-kiet-phia-sau-es3196471
land,105.0,5.0,7.5,Lien Chieu,5,7900.0,75.24,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/khu-a2-phuong-trang-duong-tran-minh-tong-es3196388
land,108.0,5.0,5.0,Lien Chieu,5,5250.0,48.61,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-bau-mac-6-gan-bien-gia-dau-tu-es3196333
land,217.0,10.0,6.0,Lien Chieu,5,15500.0,71.43,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/1-cap-duong-hoa-minh-25-truc-thong-nguyen-sinh-sac-es3196304
land,90.0,5.0,7.5,Lien Chieu,5,4850.0,53.89,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-dao-su-tich-lo-sach-dep-gan-truong-c1-bui-thi-xuan-es3196303
land,80.0,8.15,7.5,Lien Chieu,5,3650.0,45.62,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/kiet-o-to-5m-k554-ton-duc-thang-doi-dien-dh-su-pham-es3196299
land,100.0,5.0,5.5,Cam Le,6,4190.0,41.9,homedy_land_list,https://homedy.com/ban-dat-quan-cam-le-da-nang/duong-lien-lac-2-kdc-hoa-xuan-es3196206
land,217.0,10.0,6.0,Lien Chieu,5,15050.0,69.35,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/1-cap-duong-hoa-minh-25-truc-thong-nguyen-sinh-sac-es3196110
land,80.0,5.0,7.5,Lien Chieu,5,5750.0,71.88,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-hoa-phu-2-truc-thong-nguyen-chon-es3196074
land,80.0,5.0,7.5,Lien Chieu,5,6500.0,81.25,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-hoa-phu-2-truc-thong-nguyen-chon-es3196039
land,75.0,5.0,7.5,Lien Chieu,5,2850.0,38.0,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/2-mat-kiet-go-du-hoa-minh-cach-ben-xe-chi-15km-es3196032
land,190.0,8.0,7.5,Lien Chieu,5,5400.0,28.42,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/lo-goc-2-mat-tien-le-cong-kieu-thanh-vinh-12-vi-tri-dep-dau-tu-sinh-loi-es3195959
land,100.0,5.0,5.5,Lien Chieu,5,3550.0,35.5,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-thach-son-6-truc-thong-vao-chung-cu-ecohome-es3195941
land,68.0,5.0,5.5,Lien Chieu,5,5300.0,77.94,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-hoa-minh-1-gan-bien-sat-cho-tran-dinh-tri-es3195940
land,81.0,5.0,7.5,Lien Chieu,5,6600.0,81.48,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/mt-duong-75m-truong-van-sat-sieu-thi-mega-market-es3195911
land,100.0,5.0,7.5,Ngu Hanh Son,4,8600.0,86.0,homedy_land_list,https://homedy.com/ban-dat-quan-ngu-hanh-son-da-nang/gia-tot-dau-tu-mt-trinh-loi-nam-viet-a-sat-le-hy-cat-5x20-chi-86tr-m2-es3195739
land,105.0,5.0,7.5,Lien Chieu,5,7300.0,69.52,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-phan-thi-ne-truc-thong-bien-cach-chi-100m-es3195359
land,85.0,5.0,5.5,Lien Chieu,5,5400.0,63.53,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/lo-tdc-ngo-si-dau-lung-phu-thanh-10-es3195358
land,110.0,5.0,5.5,Lien Chieu,5,5300.0,48.18,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-dao-doan-dich-gan-ben-xe-tt-thanh-pho-es3195357
land,60.0,5.0,7.5,Lien Chieu,5,4450.0,74.17,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-75m-nguyen-nhu-hanh-gan-ton-duc-thang-es3195350
land,90.0,5.0,7.5,Lien Chieu,5,6500.0,72.22,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-75m-dinh-duc-thien-truc-thong-ho-tung-mau-es3195327
land,109.0,5.0,6.0,Lien Chieu,5,8600.0,78.9,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/hang-hiem-duong-hoa-minh-25-kep-cong-vien-10m-es3195165
land,100.0,5.0,7.5,Lien Chieu,5,5500.0,55.0,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-bau-mac-21-song-voi-nguyen-an-ninh-es3195109
land,86.0,5.0,40.0,Cam Le,6,1950.0,22.67,homedy_land_list,https://homedy.com/ban-dat-quan-cam-le-da-nang/kiet-nhua-o-to-nguyen-tat-thanh-hoi-an-co-86m2-ma-chi-1ty95-tan-cua-es3194909
land,232.0,5.0,14.0,Hoa Vang,7,350.0,1.51,homedy_land_list,https://homedy.com/ban-dat-huyen-hoa-vang-da-nang/350-trieu-232-met-tho-cu-mat-tien-quoc-lo-14b-nam-giang-es3184580
land,120.0,5.0,7.5,Hoa Vang,7,1200.0,10.0,homedy_land_list,https://homedy.com/ban-dat-huyen-hoa-vang-da-nang/chinh-chu-can-nhanh-5-lo-nen-khu-dan-cu-phu-tp-es3193962
land,100.0,5.0,7.5,Cam Le,6,5450.0,54.5,homedy_land_list,https://homedy.com/ban-dat-quan-cam-le-da-nang/gia-tot-dau-tu-chi-hon-5-ty-sat-van-tien-dung-hoa-xuan-chu-thien-es3193916
land,150.0,5.0,7.5,Hoa Vang,7,1090.0,7.27,homedy_land_list,https://homedy.com/ban-dat-huyen-hoa-vang-da-nang/1-toi-2xx-so-huu-ngay-100m-mat-tien-duong-o-to-gan-ql14b-es3193908
land,90.0,5.0,5.5,Lien Chieu,5,4550.0,50.56,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/chao-lo-so-41-dong-tri-5-sach-dep-gan-ton-duc-thang-es3193784
land,90.0,5.0,7.5,Ngu Hanh Son,4,8000.0,88.89,homedy_land_list,https://homedy.com/ban-dat-quan-ngu-hanh-son-da-nang/lo-dep-sat-bien-my-khe-duong-le-van-tam-khue-90m2-ngang-5-phap-ly-ro-rang-es3193764
land,127.0,6.7,7.5,Lien Chieu,5,7500.0,59.06,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/goc-2mt-duong-bau-mac-9-14-thong-nguyen-chanh-es3193761
land,108.0,5.0,5.0,Lien Chieu,5,5500.0,50.93,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/nhanh-dep-bau-mac-4-song-nguyen-an-ninh-gan-bien-es3193685
land,333.0,12.0,10.5,Cam Le,6,22000.0,66.07,homedy_land_list,https://homedy.com/ban-dat-quan-cam-le-da-nang/lo-goc-2-mat-tien-duong-105-tu-mo-dinh-liet-es3193666
land,94.0,5.0,7.5,Lien Chieu,5,5700.0,60.64,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/mat-tien-bau-mac-17-gan-bien-truc-thong-nguyen-an-ninh-es3193655
land,90.0,5.0,7.0,Lien Chieu,5,5590.0,62.11,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/mat-tien-duong-7m5-bau-mac-22-truc-thong-nguyen-an-ninh-es3193602
land,110.0,5.0,10.5,Thanh Khe,2,7900.0,71.82,homedy_land_list,https://homedy.com/ban-dat-quan-thanh-khe-da-nang/lo-duong-105m-ho-quy-ly-truc-kinh-doanh-es3193601
land,90.0,5.0,7.5,Lien Chieu,5,5590.0,62.11,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/chao-duong-bau-mac-22-gan-bien-es3193599
land,75.0,5.08,7.5,Thanh Khe,2,5800.0,77.33,homedy_land_list,https://homedy.com/ban-dat-quan-cam-le-da-nang/duong-75m-ton-dan-tang-nha-c4-kien-co-es3193598
land,68.0,5.0,20.0,Thanh Khe,2,3050.0,44.85,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-nguyen-nhu-hanh-cach-20m-es3193593
land,108.0,5.0,6.0,Lien Chieu,5,6850.0,63.43,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/duong-hoa-minh-28-khu-b-phuong-trang-es3193591
land,111.0,5.0,2.0,Lien Chieu,5,4300.0,38.74,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/2-mat-kiet-duong-nhua-o-to-tranh-nhau-k126-tran-dinh-es3193574
land,220.0,10.0,10.5,Lien Chieu,5,17500.0,79.55,homedy_land_list,https://homedy.com/ban-dat-quan-lien-chieu-da-nang/1-cap-duong-105m-luong-truc-dam-doi-dien-ben-xe-es3193561
