source,title,price_million_vnd,price_raw,price_per_m2_million,area_m2,bedrooms,floors,frontage_m,road_width_m,direction,property_type,legal_status,district,address,description,url,scraped_at
homedy_land_list,"Đất khu đô thị trung tâm Hòa Xuân. Diện tích 100m2. Ngang 5, dài 20. Đường 7.5m.",5800.0,"5,8 Tỷ",58.0,100.0,,,5.0,7.5,,land,,Cam Le,Cam Le,"Vị trí đắc địa :Gần trường học Gần chợ Gần sân vận động Hòa Xuân Gần các dự án lớn đang xây dựng Gần cách ly trường nghề, Cao Đẳng... Các nhà cao tầng xung...",https://homedy.com/ban-dat-quan-cam-le-da-nang/khu-do-thi-trung-tam-hoa-xuan-dien-tich-100m2-ngang-5-dai-20-duong-7-5m-es3204644,2026-05-18T19:52:10
homedy_land_list,Vip. Mặt tiền đường nhựa 7.5m. Lô đất ở Phú Sơn2 Cách quốc lộ 14B 200m. Chỉ 1.9x tỷ. Lh: 0794782599,1980.0,"1,98 Tỷ",10.0,198.0,,,,7.5,,land,,Hoa Vang,Hoa Vang,❌️❌️ VÍP.. ĐƯỜNG NHỰA MT 7.5M💎ĐẤT Ở PHÚ SƠN 2💎CÁCH ỦY BAN XÃ HÒA TIẾN MỚI 500M 🔊 Cơ hội chỉ có 1 lô duy nhất. 🔔Giá Rẻ : 1 tỷ.980 ❌️📍💥 Diện tích 198m2...,https://homedy.com/ban-dat-huyen-hoa-vang-da-nang/vip-mat-tien-duong-nhua-7-5m-lo-o-phu-son2-cach-quoc-14b-200m-chi-1-9x-ty-lh-0794782599-es3204272,2026-05-18T19:52:10
homedy_land_list,"Cực hiếm - Lô đất 80m2 kiệt ô tô Hòa Thọ Tây - Chỉ 2,3 tỷ!",2300.0,"2,3 Tỷ",28.75,80.0,,,,,,land,,Cam Le,Cam Le,"🛑 Bạn đang tìm một lô đất vừa túi tiền, vị trí thuận lợi để an cư hoặc đầu tư sinh lời? Cơ hội này cực kỳ hiếm tại khu vực Hòa Thọ Tây! 🎯 Thông...",https://homedy.com/ban-dat-quan-cam-le-da-nang/cuc-hiem-lo-80m2-kiet-o-to-hoa-tho-tay-chi-23-ty-es3205206,2026-05-18T19:52:10
homedy_land_list,283m² | Đường nhựa 10m5 | Ngay trục Núi Thần Tài & Hòa Phú Thành,1690.0,"1,69 Tỷ",5.97,283.0,,,,10.0,,land,,Hoa Vang,Hoa Vang,"Đất 283m² ngay trục chính lên Núi Thần Tài & Hòa Phú Thành. Đường nhựa thông thoáng 10m5, cạnh 2 villa lớn, dân cư sầm uất. 💰 Giá chỉ còn: 1 tỷ 6xx —...",https://homedy.com/ban-dat-huyen-hoa-vang-da-nang/283m-duong-nhua-10m5-ngay-truc-nui-than-tai-phu-thanh-es3204959,2026-05-18T19:52:10
homedy_land_list,"🌿 Đất Hoà Tiến – lô góc 2 mặt tiền, giá chỉ từ 9xx triệu 🌿",1000.0,"999,999 Triệu",0.0,999999000.0,,,,7.5,,land,,Hoa Vang,Hoa Vang,"Đất sổ riêng, ngay sát Nam Kỳ Khởi Nghĩa – chạy 20 phút là tới trung tâm Đà Nẵng.🔹 Mặt đường nhựa 7.5m – xe hơi vào thoải mái 🔹 Điện, nước, cống thoát đã...",https://homedy.com/ban-dat-huyen-hoa-vang-da-nang/tien-lo-goc-2-mat-gia-chi-tu-9xx-trieu-es3204371,2026-05-18T19:52:10
homedy_land_list,"Trung tâm KĐT HÒA XUÂN Đà Nẵng, 100m2, (5×20) Gần chợ Hòa xuân. Nhỉnh 5 tỷ",5350.0,"5,35 Tỷ",53.5,100.0,,,,5.5,,land,,Cam Le,Cam Le,"💥LÔ ĐẤT NẰM NGAY TT KHU ĐÔ THỊHÒA XUÂN 💥 💥CƠ HỘI KHÔNG DÀNH CHO NGƯỜICHẦN CHỪ 💥DT: 100m2, 5×20m.Đường 5.5m, Lề 3mÔ tô đậu đỗ thoải mái. 📍 GẦN CHỢ HÒA...",https://homedy.com/ban-dat-quan-cam-le-da-nang/trung-tam-kdt-hoa-xuan-100m2-520-gan-cho-nhinh-5-ty-es3204274,2026-05-18T19:52:10
homedy_land_list,Bán Lô Đất Gần Tồn Đản Rộng Đẹp Giá Tốt Nhất Chưa Qua Đầu Tư,3700.0,"3,7 Tỷ",37.0,100.0,,,,,,land,,Thanh Khe,Thanh Khe,"🔥 BÁN LÔ ĐẤT GẦN TÔN ĐẢN – GIÁ TỐT CHƯA QUA ĐẦU TƯ 🔥📍 Vị trí: Gần đường Tôn Đản – khu dân cư đông đúc, tiện ích đầy đủ📐 Diện tích: 100m²📏 Ngang: 4.2m...",https://homedy.com/ban-dat-quan-thanh-khe-da-nang/lo-gan-ton-dan-rong-dep-gia-tot-nhat-chua-qua-dau-tu-es3204270,2026-05-18T19:52:10
homedy_land_list,"Đất TT Hòa Xuân Đà Nẵng , Đường 5.5m, vỉa hè 3m, 4 tỷ .XX. ( x nhỏ) liên hệ 0794782599",4350.0,"4,35 Tỷ",43.5,100.0,,,,5.5,,land,,Cam Le,Cam Le,"💥ĐẤT HOÀ XUÂN - ĐƯỜNG 5M5 - GẦN DỰ ÁN CMC - GIÁ CHỈ 4TY.XX. ( x nhỏ). HƯỚNG NAM MÁT MẺ. Diện tích : 100m2, 5×20.Sát Đường Văn Tiến Dũng, Trần Nam Trung. Cơ...",https://homedy.com/ban-dat-quan-cam-le-da-nang/tt-hoa-xuan-duong-5-5m-via-he-3m-4-ty-xx-x-nho-lien-0794782599-es3204260,2026-05-18T19:52:10
homedy_land_list,"Lô đất kiệt ô tô Hòa Thọ Tây - Chỉ 2,65 tỷ sở hữu ngay!",2650.0,"2,65 Tỷ",26.5,100.0,,,,,,land,,Cam Le,Cam Le,"🛑 Bạn đang tìm một lô đất vừa đẹp, vừa tiện ích, lại có tiềm năng đầu tư cao? Đây chính là lựa chọn không thể bỏ qua tại khu vực Hòa Thọ Tây! 🎯...",https://homedy.com/ban-dat-quan-cam-le-da-nang/lo-kiet-o-to-hoa-tho-tay-chi-265-ty-so-huu-ngay-es3204250,2026-05-18T19:52:10
homedy_land_list,"Sở hữu ngay đất nhà vườn rộng rãi - Chỉ 2,5 tỷ tại Hòa Thọ Tây!",2500.0,"2,5 Tỷ",10.96,228.0,,,,,,land,,Cam Le,Cam Le,"🛑 Bạn đang tìm một nơi an cư yên tĩnh, thoáng đãng nhưng vẫn đầy đủ tiện ích? Đừng bỏ lỡ cơ hội sở hữu lô đất đẹp này tại Hòa Thọ Tây! 🎯 Thông...",https://homedy.com/ban-dat-quan-cam-le-da-nang/so-huu-ngay-nha-vuon-rong-rai-chi-25-ty-tai-hoa-tho-tay-es3204246,2026-05-18T19:52:10
